"","KOPT-K1.DMSO.1","KOPT-K1.DMSO.2","KOPT-K1.DMSO.3","HPB-ALL.DMSO.1","HPB-ALL.DMSO.2","HPB-ALL.DMSO.3","WT.COLD.1","WT.COLD.2","WT.COLD.3","HPB-ALL.SAHM1.1","HPB-ALL.SAHM1.2","HPB-ALL.SAHM1.3"
"SLC8A1-AS1",8.28715166357709,8.2856280956324,8.25843789705841,5.0900632166556,4.72472074027127,4.72889828258403,8.19011678144584,8.28301958127189,8.06321789772886,5.7698443874325,5.7985542108118,6.15840740943602
"ZNF37BP",5.19677568303137,5.01039095349035,5.03899262012347,6.85325406885858,6.10837160992037,6.6531015274575,4.77128397069546,4.37929619796369,4.34989032268576,7.41472222297741,7.15222350870141,7.41832092362935
"LOC100130476",3.73395893592031,3.65601246536577,3.74057541277112,4.51591318725162,3.69179779760819,4.38573383707567,3.63178220776308,3.38194246115661,3.23577872663766,5.47172533818151,5.45789106863928,5.2525983922439
"HERC2P7",3.84280793017741,3.6173979245369,3.53041738963468,3.03929773781606,3.25326958559874,3.44608787259964,5.25019679256614,4.67745692009972,5.04231597764542,2.85644045712329,3.08185729243651,3.2670967876308
"PAXIP1-AS2",6.05696649784758,5.93486901517436,6.1034963553855,6.77291027376664,6.162102279189,6.13305275117986,5.43842945996993,5.45890573131489,5.60883600472092,7.07742153053336,6.7856800763825,7.09487215566108
"PRINS",6.76974579466185,6.78033838422615,6.86189970613707,5.79798503350364,6.39083314029299,5.85039276767553,7.91460035476234,8.10240784672582,8.13461109958659,5.71186275245919,6.14756148055699,5.9643407529022
"ZBED6",7.4061990523459,7.85293845064963,8.05233509271001,7.91530567925775,6.31286899918763,6.50891060401193,6.45626394281103,6.71775275726125,7.28640656233973,8.0364354794756,7.89607662519798,7.92986761128514
"LINC00888",8.23411121600186,8.22961482492152,8.24092127161662,7.2778133077823,7.10016537561643,7.35042269915155,7.29975429524452,7.6226149970791,7.18546832601032,7.86364049723598,8.25024755735316,8.1400652048074
"LOC100505915",6.31299379724735,6.19169471297802,6.13235522797134,4.59594598821996,4.43576918152763,4.53966503146208,7.26581569708484,7.3674717578763,7.7355807757964,5.09790364954812,5.23074708085678,5.01989639608844
"MIR210HG",6.21457283276394,6.52393396084231,6.6591683577553,6.01383562835625,5.79197013688958,5.94760453451983,5.64698521412154,5.75080930657845,6.18488376735262,3.85945454481446,4.17593053835732,4.2201683795656
"RAB30-DT",5.45683884736581,5.34988164360425,5.47590799671834,6.474002505515,5.53867503850644,5.65425733131494,4.10601632909902,4.44977892486006,4.38858360079443,6.68344508824182,6.8473804494787,6.9147615973309
"LINC00408",5.46777585313129,5.34586604929751,5.28897019638659,4.39969942263232,4.71745351073355,4.50307710199433,6.55914027274271,6.36738587434835,6.29480529472769,4.2807559956686,4.5622462104473,4.47572439139594
"RAD50",5.75518938372247,5.90855197418009,5.91411528099844,7.36397976410212,7.51506113937086,7.40544139711575,5.18000387302738,4.56465735263875,4.67442915769617,7.28179045125366,7.04319729327041,7.19584821396994
"RBM5",4.22626211230304,4.65164698553505,4.43313441586042,5.65655824963179,4.86379065514797,4.87033578817129,4.52577012431123,4.66265451325642,4.7073314261322,6.24668685884431,6.02579180557211,6.11826229115365
"PRKRA-AS1",7.04296665697887,7.23565948683976,7.27654057764293,7.10379741899848,6.72252344972063,6.90820121946988,5.93632767887504,5.88307562780228,5.88605741555608,7.50785762017462,7.56610965965601,7.47508373424078
"LINC02504",4.53301358609346,4.64312564801372,4.7652271128216,3.90578172928176,4.53055177392252,4.18515031445507,5.39661529574529,5.98426700391974,6.02300760847378,3.85819823532243,4.0202570097581,3.98205865627469
"LOC101928626",3.99575098862834,4.25852100963947,4.05563972098888,3.24591655659276,3.19360326018734,2.90834847743438,5.17342463375405,5.05586352971765,4.81535023507739,2.99661496155994,2.85884561029183,2.73967776438133
"EIF1",5.6971070870896,5.65796683180737,5.25715055774936,5.84243557488483,5.72061234412828,5.77016109400728,4.78960614822773,4.40232371253377,4.35056205711515,5.76993636387473,5.85436951487242,5.80315410474227
"PCGF3",4.96712715968008,5.24697389287105,5.1966756865576,6.49200046089517,5.76363159549299,5.74220443882244,4.34293995871173,4.54587139672666,4.55825316784068,6.6290371910719,6.69874943040681,6.77630914056058
"ATP8A1",6.76243817842217,6.99331868887939,6.76596491380752,7.88631843768967,7.81957209093242,7.91216865611665,5.84566788212261,6.19898361572688,5.67627201913133,7.94020510705239,8.00724130857993,7.99733727668726
"ADARB1",7.22389668286634,7.12017956774295,7.02609623594472,7.47256388698354,7.45215175161796,7.52178083867496,6.10392920023288,6.14975285490077,6.12874405747994,7.65277126691394,7.63567695839554,7.71526295785187
"ST3GAL6",3.76141201403574,3.60894489912668,3.85733004109009,4.83796430898684,5.28744319202787,5.06248321355376,3.2950155364121,3.41896153984042,3.43520312742631,5.5319770318925,5.90298333233865,5.9201172383963
