"","KOPT-K1.DMSO.1","KOPT-K1.DMSO.2","KOPT-K1.DMSO.3","HPB-ALL.DMSO.1","HPB-ALL.DMSO.2","HPB-ALL.DMSO.3","WT.COLD.1","WT.COLD.2","WT.COLD.3","HPB-ALL.SAHM1.1","HPB-ALL.SAHM1.2","HPB-ALL.SAHM1.3"
"203440_at",5.25431681201305,5.41266815059374,4.95107400428303,10.085352288004,10.0911288583558,10.0519626323498,5.20839389617625,5.52469498041756,5.65314629233898,10.1289514012166,10.1863025249346,10.1482168687898
"224229_s_at",5.40141999225218,5.98028989729301,5.7183057745484,6.67018424774623,6.25835319761852,6.37089708659065,5.15361625965154,5.40933906297636,5.39722569051885,6.89677722299226,6.65740305449388,6.72163881887119
"207078_at",4.83896444398428,4.83179202240432,4.471780836772,5.54147724012615,5.4050647941164,5.72753452853249,4.64393102834691,4.11367449886853,4.33257358226377,5.60896296557699,5.96105847277153,5.59150867800203
"228647_at",4.62010614964516,4.55110408536588,4.1013816087408,6.20984168397045,6.28868001398704,6.2470898607064,4.55406374754623,4.44283877486998,4.62420235504174,6.38430455995747,5.90407406402451,6.43188797065277
"236514_at",5.78124747074733,5.64137318209793,5.76208119298351,6.73875432473726,6.78395998659548,6.79189463628916,5.8355745657555,5.8837872393309,5.70602507933488,7.1509593155688,7.08707035914322,7.2724912326291
"210458_s_at",8.99371502513425,9.06275758754995,9.28054827992062,6.74162098911132,6.1136878057528,6.49452179490603,9.27344284066637,9.4166040091128,9.51194268951469,6.59595455382542,6.59544638757975,6.93291318181844
"235798_at",7.54705548544221,7.54207863334827,7.59803496894358,8.62684750656569,8.31832886037116,8.38682656529489,7.73582832222703,7.32894062726539,7.42886853091043,8.51568391340815,8.57100628273108,8.58373184802949
"228107_at",9.42164580439592,9.440831707092,9.4435078963939,8.59728039660463,8.43018988981243,8.67708604935149,9.47937557650253,9.43624502845452,9.50303233772616,8.7461013461262,8.68600101861966,8.62967779338773
"244741_s_at",3.34633186291128,3.49015628687017,3.52456174700828,4.61833488923986,4.25089073715257,4.3746342419669,3.49150193940669,3.78987090938412,3.82816955574034,4.37856389908444,4.66803422890801,4.41333465510141
"1559045_at",3.46444445443987,3.53302269663589,3.5292216131463,4.45685067584164,4.38041094896762,4.31190647976765,3.33360149581715,3.45577384761115,3.43213491637811,4.52382095227961,4.43976647562109,4.42040086007109
