"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1552264_a_at","MAPK1","5594","mitogen-activated protein kinase 1",0.0449383674130512,9.04630598560311,0.549031503755718,0.593149000670773,0.758629351636678,-6.69049612558696
"2","1552275_s_at","PXK","54899","PX domain containing serine/threonine kinase like",-0.195642893284808,8.43902432180103,-2.29391427761111,0.0408376542008793,0.136468081521614,-4.51986736784711
"3","1552286_at","ATP6V1E2","90423","ATPase H+ transporting V1 subunit E2",-0.140132479341459,6.13914202747462,-1.27554724510247,0.226483039082942,0.418007832923382,-6.03316490283462
"4","1552287_s_at","AFG3L1P","172","AFG3 like matrix AAA peptidase subunit 1, pseudogene",-0.069376885252022,7.28061839096818,-0.452888691220691,0.65878527087795,0.804898420544827,-6.74104879246049
"5","1552302_at","TMEM106A","113277","transmembrane protein 106A",-0.375777996842583,6.14669363287487,-2.14944765692386,0.0529077138476657,0.160546873399023,-4.76187014161192
"6","1552306_at","ALG10","84920","ALG10 alpha-1,2-glucosyltransferase",-0.223521090335828,5.95708671332995,-1.4456279306348,0.174130194593545,0.355720796412209,-5.81894354499157
"7","1552310_at","C15orf40","123207","chromosome 15 open reading frame 40",-0.145837239086042,8.22209308093165,-1.72529488493492,0.110354223173985,0.26453558676291,-5.42784359662131
"8","1552314_a_at","EYA3","2140","EYA transcriptional coactivator and phosphatase 3",-0.044565556373442,4.55026747148942,-0.376681377356307,0.713049205479293,0.844215460077079,-6.77444815600192
"9","1552315_at","GIMAP1","170575","GTPase, IMAP family member 1",0.405669854940338,8.11762545176068,4.1201992126693,0.00144847063651578,0.0162421840707969,-1.23458770735237
"10","1552326_a_at","CFAP53","220136","cilia and flagella associated protein 53",-0.743075342185337,4.61760792934602,-3.87499623421412,0.00224633290076275,0.0209660623475156,-1.67626461335786
"11","1552330_at","CENPBD1","92806","CENPB DNA-binding domain containing 1",0.207757600425952,7.35542488446797,2.08206943112627,0.0596246473562097,0.175636877150866,-4.87243863285821
"12","1552347_at","CRYZL1","9946","crystallin zeta like 1",-0.332053972315582,6.99044818271155,-3.14773080180133,0.00850084703400301,0.0486760830753614,-3.00263525614406
"13","1552348_at","PRSS33","260429","serine protease 33",0.182733135948446,4.32117290511392,1.15023070175117,0.272666893461855,0.472994601950811,-6.17795194134108
"14","1552398_a_at","CLEC12A","160364","C-type lectin domain family 12 member A",0.158409563618038,4.07252448988195,0.911579357080371,0.380108243367165,0.579952181973559,-6.41961561093074
"15","1552422_at","C10orf25","220979","chromosome 10 open reading frame 25",0.0270953378491887,7.28642238560487,0.226183826544782,0.824901497899617,0.90609371822257,-6.82269304081115
"16","1552427_at","ZNF485","220992","zinc finger protein 485",0.238922729553155,4.27839431012552,1.77307196868044,0.101819940836548,0.251680427732531,-5.35678595475647
"17","1552486_s_at","LACTB","114294","lactamase beta",0.185349234040479,5.64653355111826,1.27246851470206,0.227537467035421,0.419187316049922,-6.03685959918705
"18","1552497_a_at","SLAMF6","114836","SLAM family member 6",-0.0933140541255586,8.0323797856916,-1.01989028671785,0.328092654397809,0.528943974124958,-6.31573433576942
"19","1552518_s_at","MTBP","27085","MDM2 binding protein",-0.172749462180366,4.57579271935387,-1.14234335870999,0.275802698882047,0.475307519999594,-6.18667033794121
"20","1552531_a_at","NLRP11","204801","NLR family pyrin domain containing 11",0.174453695973215,4.35260559527973,1.17454158618348,0.263174926224301,0.462561349513881,-6.15077980593708
"21","1552584_at","IL12RB1","3594","interleukin 12 receptor subunit beta 1",0.241688470507472,6.67459757449629,2.53786444635266,0.0262032020593539,0.100855345226163,-4.09854734064465
"22","1552611_a_at","JAK1","3716","Janus kinase 1",-0.733188723509554,7.56626467747784,-3.75612291897077,0.00278482764676365,0.0236569702113963,-1.89192937335063
"23","1552618_at","STX6","10228","syntaxin 6",0.281611828315357,8.3257410418911,2.99637856850469,0.0112477232294471,0.0582710589484497,-3.27808145051894
"24","1552620_at","SPRR4","163778","small proline rich protein 4",0.149009281193539,6.75926636527651,1.06884515126447,0.30636771474193,0.507111224242748,-6.26557601083131
"25","1552630_a_at","SRCAP","10847","Snf2 related CREBBP activator protein",0.305267112274747,4.28550820930772,1.87968931288403,0.0848808520354579,0.222160527529312,-5.19427960734477
"26","1552633_at","ZNF101","94039","zinc finger protein 101",-0.310124044293477,8.22028984640448,-1.57430485732555,0.141646464102599,0.311844702382946,-5.6445556489791
"27","1552657_a_at","TXNDC2","84203","thioredoxin domain containing 2",0.264993490714615,4.13715067634053,1.77078289579163,0.102214926077777,0.252336847841715,-5.36021616253586
"28","1552680_a_at","KNL1","57082","kinetochore scaffold 1",-1.19667924333707,8.26679157900825,-4.8198266358356,0.000430685040272918,0.00787404606238095,-0.00745271766215438
"29","1552701_a_at","CARD16","114769","caspase recruitment domain family member 16",0.587273503977742,7.66174378600856,7.38866385744079,8.87972782417207e-06,0.000658928038246651,3.92375983827421
"30","1552727_s_at","ADAMTS17","170691","ADAM metallopeptidase with thrombospondin type 1 motif 17",-0.611516450999817,5.64890451114843,-4.22580368078907,0.00120148418051443,0.0148960421987121,-1.0459577733989
"31","1552736_a_at","NETO1","81832","neuropilin and tolloid like 1",0.172368004643993,5.55055536089973,0.884402453686026,0.394018646092893,0.593240887801662,-6.44410137581322
"32","1552749_a_at","KLC3","147700","kinesin light chain 3",-0.0279196910666828,6.3834210394248,-0.226498982994682,0.824661997026271,0.90609371822257,-6.82261688855508
"33","1552787_at","HELB","92797","DNA helicase B",-0.58649153561546,5.09364415303619,-2.8085922165931,0.0159187135450893,0.0723656113049734,-3.61736332264176
"34","1552789_at","SEC62","7095","SEC62 homolog, preprotein translocation factor",-0.117499515733043,4.99479998412435,-0.788065807150937,0.446091778217008,0.639329897977038,-6.52561223694043
"35","1552822_at","TMX3","54495","thioredoxin related transmembrane protein 3",-0.713116560096162,4.44134896220713,-3.67868862181845,0.00320542236351131,0.0259623776023725,-2.03283487905803
"36","1552863_a_at","CACNG6","59285","calcium voltage-gated channel auxiliary subunit gamma 6",0.112634632776004,7.16925090586269,1.018057168016,0.328927610423278,0.529600740968685,-6.31757444484296
"37","1552889_a_at","EXOC3L2","90332","exocyst complex component 3 like 2",0.119665229941925,6.73330727209281,0.979293290423863,0.346948880527977,0.54812274613155,-6.35583268179
"38","1552977_a_at","CNPY3","10695","canopy FGF signaling regulator 3",0.140642914952592,9.00697883324701,1.48453102782967,0.163699714352713,0.341987560815384,-5.76728376888956
"39","1553055_a_at","SLFN5","162394","schlafen family member 5",-0.412723739339411,5.91616040497773,-1.78350073474227,0.100037739915442,0.248418031361567,-5.34112609577796
"40","1553081_at","WFDC12","128488","WAP four-disulfide core domain 12",0.290948554986458,5.56566516546021,2.61502790513255,0.0227438828028731,0.091422612859922,-3.96261469306867
"41","1553096_s_at","BCL2L11","10018","BCL2 like 11",0.274399896445574,7.1050638501602,2.84775556365637,0.0148071999653011,0.0689664150321369,-3.54689930625163
"42","1553102_a_at","CCDC69","26112","coiled-coil domain containing 69",-0.222131812747596,7.88921727178015,-2.06640302337798,0.0612970612426582,0.17889240661102,-4.89791890500861
"43","1553112_s_at","CDK8","1024","cyclin dependent kinase 8",-0.0255345574903174,7.79848069802382,-0.385090141938796,0.706973448583419,0.841960826422452,-6.77105596660109
"44","1553122_s_at","RBAK","57786","RB associated KRAB zinc finger",-0.873886288809573,5.47002728916495,-2.97795963444673,0.0116377156147852,0.0596754554394391,-3.31150100145969
"45","1553127_a_at","RNF168","165918","ring finger protein 168",-0.0821143195425122,3.75194629382408,-0.407121053860805,0.691155681852865,0.827419115214604,-6.7618225708166
"46","1553132_a_at","TC2N","123036","tandem C2 domains, nuclear",0.0959804383953906,5.14682440954543,0.690860676992388,0.502923281801567,0.68773736584572,-6.59924207816757
"47","1553153_at","ATP6V0D2","245972","ATPase H+ transporting V0 subunit d2",0.026295070968918,5.6100144692389,0.249465009165974,0.80726034405977,0.897589271225478,-6.8167848696194
"48","1553186_x_at","RASEF","158158","RAS and EF-hand domain containing",-0.216557169061122,10.2075520415065,-1.82617100208616,0.0930349017070635,0.236517515223051,-5.27651124517786
"49","1553202_at","STOX1","219736","storkhead box 1",-0.311719136591941,4.18310287192346,-2.70609175181678,0.0192339054444582,0.0821102257806564,-3.80087327387681
"50","1553217_s_at","ZNF41","7592","zinc finger protein 41",0.158267413405126,4.50429001621564,1.73292774059302,0.108949259483183,0.263014398473219,-5.41656800570295
"51","1553246_a_at","POMK","84197","protein O-mannose kinase",-0.34685918127831,4.68777206162453,-1.60761221558483,0.134144405727518,0.299775319442452,-5.59782427504702
"52","1553247_a_at","ZNF709","163051","zinc finger protein 709",0.055179227071573,4.61254749355301,0.32270719327725,0.752523321496067,0.865170353216942,-6.79447602455636
"53","1553252_a_at","BRWD3","254065","bromodomain and WD repeat domain containing 3",-0.659691503751659,6.47494042803251,-2.85737005614492,0.0145463151759331,0.0682691321447172,-3.52957420023788
"54","1553269_at","ZNF718","255403","zinc finger protein 718",-0.0614069446249257,6.135157101725,-0.403655619607714,0.693633957330333,0.829795388499018,-6.76330809566373
"55","1553292_s_at","RSKR","124923","ribosomal protein S6 kinase related",-0.196227181729278,4.97666844301679,-1.9094538506952,0.0806332686635731,0.215751720965597,-5.14799533969075
"56","1553311_at","C20orf197","284756","chromosome 20 open reading frame 197",-0.387681160544044,5.73717212790236,-2.79640254879402,0.0162812606105891,0.0736818305300741,-3.63925853387975
"57","1553328_a_at","SLC18A2","6571","solute carrier family 18 member A2",0.116129976028063,6.36277204544915,1.05017900608619,0.314521258152175,0.515953923483705,-6.2849309500852
"58","1553349_at","ARID2","196528","AT-rich interaction domain 2",-0.397611454607772,5.35407777960856,-3.1011621109012,0.00926538649486562,0.0513770772011999,-3.08752175527907
"59","1553395_a_at","CD200R1","131450","CD200 receptor 1",0.436404096624589,5.67646501372925,3.7940442370418,0.00259995413352447,0.0226586676299905,-1.82303908684506
"60","1553397_at","CCDC13","152206","coiled-coil domain containing 13",0.0189045229569986,5.17932603265711,0.115682096776528,0.909836054598411,0.950721211742304,-6.84288999261251
"61","1553423_a_at","SLFN13","146857","schlafen family member 13",0.153495888036128,4.18861165462455,0.833323707511198,0.421093769010406,0.615909413240564,-6.48835788334
"62","1553458_at","VSTM4","196740","V-set and transmembrane domain containing 4",-0.0687538238846392,4.14249082252408,-0.578280294337969,0.573869242801969,0.740788999534084,-6.6732849264019
"63","1553528_a_at","TAF5","6877","TATA-box binding protein associated factor 5",-0.0267072347962678,7.89237186979975,-0.246731396503668,0.809326195907254,0.898225857687928,-6.81750826135554
"64","1553535_a_at","RANGAP1","5905","Ran GTPase activating protein 1",0.228948728144905,8.5556462692441,2.11067434261112,0.0566807129799354,0.168937317009305,-4.82568922041872
"65","1553613_s_at","FOXC1","2296","forkhead box C1",-0.456390298463824,5.01006596154758,-2.20868825420779,0.0475974473818381,0.151340087894616,-4.6634068929794
"66","1553666_at","CCDC34","91057","coiled-coil domain containing 34",-0.55575204995138,5.53404297938545,-4.12690757545502,0.00143131651882814,0.0162421840707969,-1.22257438848652
"67","1553685_s_at","SP1","6667","Sp1 transcription factor",-0.258511514616472,7.25334881246912,-1.92862716947838,0.0780011864194992,0.210929253308035,-5.11797892347828
"68","1553696_s_at","ZNF569","148266","zinc finger protein 569",-0.152141073333819,6.80587698662532,-1.0361708367332,0.320745280526991,0.521922181728216,-6.29927042150994
"69","1553697_at","CCSAP","126731","centriole, cilia and spindle associated protein",-0.190224418721754,4.72595687025288,-1.12162311349859,0.284172839151857,0.48492936975322,-6.20934450726706
"70","1553704_x_at","ZNF791","163049","zinc finger protein 791",-0.306660073437538,7.16143137268309,-2.17513478510221,0.0505398272343113,0.156073419965933,-4.71931418594344
"71","1553708_at","LINC00525","84847","long intergenic non-protein coding RNA 525",0.0183904373078807,3.85263156165025,0.161755650565594,0.874215538370514,0.932305883109408,-6.83604869385526
"72","1553725_s_at","ZNF644","84146","zinc finger protein 644",-0.177968694640857,7.64942197398181,-1.04936713240574,0.314879520042073,0.516219845285547,-6.28576638456713
"73","1553726_s_at","TBC1D32","221322","TBC1 domain family member 32",-0.188235193309627,4.81557448716745,-1.44539381199824,0.174194627018345,0.355720796412209,-5.81925155387325
"74","1553749_at","FAM76B","143684","family with sequence similarity 76 member B",0.248376469852374,8.02437605670392,1.01257444990791,0.331434184518306,0.532108461686087,-6.32306150825549
"75","1553789_a_at","C21orf58","54058","chromosome 21 open reading frame 58",-0.279445126105625,5.53768462244579,-2.56765878739427,0.0248105367824865,0.0972758108814505,-4.04619248379318
