"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1552264_a_at","MAPK1","5594","mitogen-activated protein kinase 1",0.161358744951208,9.04630598560311,1.97138969403166,0.0724130034056844,0.129765725476976,-5.4128745696906
"2","1552275_s_at","PXK","54899","PX domain containing serine/threonine kinase like",0.301814126382968,8.43902432180103,3.53877272039084,0.00413802048407728,0.0144138142388548,-2.62361233516791
"3","1552286_at","ATP6V1E2","90423","ATPase H+ transporting V1 subunit E2",0.379443618203372,6.13914202747462,3.4538621178012,0.00483495732743645,0.0162215390121305,-2.78060695951785
"4","1552287_s_at","AFG3L1P","172","AFG3 like matrix AAA peptidase subunit 1, pseudogene",0.897982100807616,7.28061839096818,5.86198035407643,7.99606843749153e-05,0.000898622746894928,1.4329266655588
"5","1552302_at","TMEM106A","113277","transmembrane protein 106A",0.347112520545491,6.14669363287487,1.98548132206897,0.0706540336405381,0.127328662053627,-5.3902945225905
"6","1552306_at","ALG10","84920","ALG10 alpha-1,2-glucosyltransferase",0.298247467601015,5.95708671332995,1.92892254040699,0.0779612625849316,0.13742108569575,-5.48042723066214
"7","1552310_at","C15orf40","123207","chromosome 15 open reading frame 40",0.589693329820264,8.22209308093165,6.97623523316219,1.56029224359464e-05,0.000301101575544537,3.12960843034279
"8","1552314_a_at","EYA3","2140","EYA transcriptional coactivator and phosphatase 3",0.230834762889644,4.55026747148942,1.95108427904212,0.0750188114814082,0.133619810354813,-5.44526838215946
"9","1552315_at","GIMAP1","170575","GTPase, IMAP family member 1",-0.0711664444533184,8.11762545176068,-0.722804331734633,0.48378160952698,0.587948458977153,-6.94895806683685
"10","1552326_a_at","CFAP53","220136","cilia and flagella associated protein 53",-0.116248020372553,4.61760792934602,-0.606211262311183,0.555776097820059,0.651742084499191,-7.02948697996456
"11","1552330_at","CENPBD1","92806","CENPB DNA-binding domain containing 1",0.275811241074067,7.35542488446797,2.76407771664647,0.0172827107131337,0.0420832865879342,-4.04791611565716
"12","1552347_at","CRYZL1","9946","crystallin zeta like 1",0.29939900505943,6.99044818271155,2.83817556429822,0.0150717676703674,0.0379169045303695,-3.91354629207973
"13","1552348_at","PRSS33","260429","serine protease 33",-0.123464585264535,4.32117290511392,-0.777159302899002,0.45225636106837,0.5591976471333,-6.90699207730823
"14","1552398_a_at","CLEC12A","160364","C-type lectin domain family 12 member A",0.139462138840484,4.07252448988195,0.802545022899019,0.437991826311924,0.544763804675861,-6.88645146176806
"15","1552422_at","C10orf25","220979","chromosome 10 open reading frame 25",0.301283663829453,7.28642238560487,2.51502647206955,0.0273219915350307,0.0600726663554531,-4.49333985587272
"16","1552427_at","ZNF485","220992","zinc finger protein 485",0.328892417269701,4.27839431012552,2.44074695975177,0.0312910826750553,0.0670466255534306,-4.62387136564203
"17","1552486_s_at","LACTB","114294","lactamase beta",0.522952123591208,5.64653355111826,3.59019617972127,0.00376665951698148,0.0134702791797934,-2.52859534295744
"18","1552497_a_at","SLAMF6","114836","SLAM family member 6",0.120960569998353,8.0323797856916,1.32205712819185,0.211029072802581,0.30572859642889,-6.34562729774084
"19","1552518_s_at","MTBP","27085","MDM2 binding protein",0.631153856610782,4.57579271935387,4.17364203235977,0.00131750369158347,0.00622483485742527,-1.45945720339015
"20","1552531_a_at","NLRP11","204801","NLR family pyrin domain containing 11",0.171986956691619,4.35260559527973,1.15793381039321,0.269631005527246,0.370193052748938,-6.53975908888984
"21","1552584_at","IL12RB1","3594","interleukin 12 receptor subunit beta 1",0.332914830007513,6.67459757449629,3.49579236843856,0.00447698115891258,0.0151922306172649,-2.7030687041933
"22","1552611_a_at","JAK1","3716","Janus kinase 1",0.505055537714092,7.56626467747784,2.58739751408123,0.0239279602496356,0.0539501731097683,-4.3650438936772
"23","1552618_at","STX6","10228","syntaxin 6",0.0564169140199589,8.3257410418911,0.600281717859073,0.559590723084011,0.654390449288973,-7.03322954315353
