"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1552264_a_at","MAPK1","5594","mitogen-activated protein kinase 1",-0.116420377538157,9.04630598560311,-1.00575912162034,0.334569414994372,0.462150908311415,-6.64408421840781
"2","1552275_s_at","PXK","54899","PX domain containing serine/threonine kinase like",-0.497457019667777,8.43902432180103,-4.12433252882579,0.00143787621689852,0.00819702305276501,-1.49718928848518
"3","1552286_at","ATP6V1E2","90423","ATPase H+ transporting V1 subunit E2",-0.519576097544832,6.13914202747462,-3.34419743151633,0.00591528558605943,0.022225265128262,-2.9297362602846
"4","1552287_s_at","AFG3L1P","172","AFG3 like matrix AAA peptidase subunit 1, pseudogene",-0.967358986059638,7.28061839096818,-4.46528672423461,0.000790198576196498,0.00548465201580128,-0.884395992554501
"5","1552302_at","TMEM106A","113277","transmembrane protein 106A",-0.722890517388074,6.14669363287487,-2.9238363207706,0.012863581648995,0.0391755139354586,-3.70281692726302
"6","1552306_at","ALG10","84920","ALG10 alpha-1,2-glucosyltransferase",-0.521768557936842,5.95708671332995,-2.3861675215299,0.0345574526134857,0.0810301607284613,-4.6634063612069
"7","1552310_at","C15orf40","123207","chromosome 15 open reading frame 40",-0.735530568906306,8.22209308093165,-6.15291095320544,5.13485361617759e-05,0.00120513820219684,1.93737117726215
"8","1552314_a_at","EYA3","2140","EYA transcriptional coactivator and phosphatase 3",-0.275400319263086,4.55026747148942,-1.64597888065248,0.125934956160209,0.217924481750484,-5.85272030120491
"9","1552315_at","GIMAP1","170575","GTPase, IMAP family member 1",0.476836299393657,8.11762545176068,3.42452064755852,0.0051026728142066,0.0200218406069102,-2.78136911107946
"10","1552326_a_at","CFAP53","220136","cilia and flagella associated protein 53",-0.626827321812784,4.61760792934602,-2.31138001987324,0.0395703175864595,0.0896226957214908,-4.79235818724471
"11","1552330_at","CENPBD1","92806","CENPB DNA-binding domain containing 1",-0.0680536406481158,7.35542488446797,-0.482252683516745,0.638385816015372,0.740017189895145,-7.04301263323926
"12","1552347_at","CRYZL1","9946","crystallin zeta like 1",-0.631452977375012,6.99044818271155,-4.23267498301671,0.00118701073468527,0.00724263139930096,-1.301251614457
"13","1552348_at","PRSS33","260429","serine protease 33",0.30619772121298,4.32117290511392,1.3628705422793,0.198187469719734,0.309710118366608,-6.23748343516677
"14","1552398_a_at","CLEC12A","160364","C-type lectin domain family 12 member A",0.0189474247775534,4.07252448988195,0.0770989170817921,0.939827560050633,0.960829758171084,-7.16392476655499
"15","1552422_at","C10orf25","220979","chromosome 10 open reading frame 25",-0.274188325980265,7.28642238560487,-1.61845615571952,0.131777900152067,0.225254500056683,-5.89222095880912
"16","1552427_at","ZNF485","220992","zinc finger protein 485",-0.0899696877165459,4.27839431012552,-0.472117513815204,0.645393044103247,0.745735290180504,-7.04812674430187
"17","1552486_s_at","LACTB","114294","lactamase beta",-0.337602889550729,5.64653355111826,-1.63888094887875,0.127419622022549,0.219664985557151,-5.86294742078675
"18","1552497_a_at","SLAMF6","114836","SLAM family member 6",-0.214274624123911,8.0323797856916,-1.65600689826496,0.123863347788471,0.21522536258286,-5.8382242536793
"19","1552518_s_at","MTBP","27085","MDM2 binding protein",-0.803903318791148,4.57579271935387,-3.75896931871405,0.00277049341996197,0.0130898031808315,-2.16464978739052
"20","1552531_a_at","NLRP11","204801","NLR family pyrin domain containing 11",0.00246673928159558,4.35260559527973,0.0117434708817228,0.990825103217166,0.993581770833429,-7.16705303361955
"21","1552584_at","IL12RB1","3594","interleukin 12 receptor subunit beta 1",-0.0912263595000411,6.67459757449629,-0.677357329594875,0.511149357586724,0.631088734617717,-6.92455029650896
"22","1552611_a_at","JAK1","3716","Janus kinase 1",-1.23824426122365,7.56626467747784,-4.48554631480649,0.000762926896741463,0.00536921774192109,-0.848356771724275
